URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-zvgVS9t/0/c4ee2c65/X2/wing%20Nomada%20cran-X2.jpg,,,100%,image-web,,Forewing of <i>Nomada</>,Nomada,,,,,
# Hylaeus,,,,,,,,,,,,
resources/text/TaxonHylaeus.html,,,100%,html-local,,"Description, abundance, diversity",Hylaeus,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-V4x824F/0/bdc44b17/L/HylaeusMS1.ankeny-L.jpg,,,100%,image-web,,,Hylaeus,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-GNCMRLs/0/9f265d8e/L/061619_2626-L.jpg,,,100%,image-web,,,Hylaeus,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-WvXrJmb/0/639f0403/X2/wing%20Hylaeus-X2.jpg,,,100%,image-web,,Forewing of <i>Hylaeus</>,Hylaeus,,,,,
# Colletes,,,,,,,,,,,,
resources/text/TaxonColletes.html,,,100%,html-local,,"Description, abundance, diversity",Colletes,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/158772260/large.jpg,,,100%,image-web,,,Colletes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-mpMWrV6/0/bf1ff41a/L/0314204020-L.jpg,,,100%,image-web,,,Colletes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-rk7mGML/0/c9d1d29d/L/colletes%20male-L.jpg,,,100%,image-web,,,Colletes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-mLdPKWh/0/05eff7af/X2/Colletes%20wing-X2.jpg,,,100%,image-web,,Forewing of <i>Colletes</i>,Colletes,,,,,
# Anthophora,,,,,,,,,,,,
resources/text/TaxonAnthophora.html,,,100%,html-local,,"Description, abundance, diversity",Anthophora,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-xrMZ2QZ/0/37203532/M/Exemplar Anthophora sp-M.jpg,,,100%,image-web,,,Anthophora,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-KxgWztR/0/7dc200de/M/cappaert.apr2017-9-M.jpg,,,100%,image-web,,,Anthophora,,,,,
#,,,,,,,,,,,,
# Ashmeadiella,,,,,,,,,,,,
resources/text/TaxonAshmeadiella.html,,,100%,html-local,,"Description, abundance, diversity",Ashmeadiella,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-FpqQxTn/0/8d5b917e/M/Ashmadiella.fisher-M.jpg,,,100%,image-web,,,Ashmeadiella,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Dhn4VsN/0/372e7b95/L/Ashmadiella2.fisher-L.jpg,,,100%,image-web,,,Ashmeadiella,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-xRjNcZC/0/80b48776/X4/wing%20Ashmeadiella-X4.jpg,,,100%,image-web,,Forewing of <i>Ashmeadiella</i>,Ashmeadiella,,,,,
# Protosmia,,,,,,,,,,,,
#,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-TSn6VvD/0/45024397/L/protosmia.JF-L.jpg,,,100%,image-web,,,Protosmia,,,,,
# Diadasia,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-5PbFZzQ/0/30a40d98/L/Diad.finley-L.jpg,,,100%,image-web,,<i>Diadasia</> does not key out uniquely. They resemble Melissodes - very hairy. ,Diadasia,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-XSd4vLt/0/e439ee4c/X2/wing%20Diadasia-X2.jpg,,,100%,image-web,,Forewing of <i>Diadasia</i>,Diadasia,,,,,
resources/text/TaxonDiadasia.html,,,100%,html-local,,"Description, abundance, diversity",Diadasia,,,,,
