URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-JG9V3PQ/0/262dd4af/X2/Recurrent%20not-X2.jpg,,,100%,image-web,1,,,RecurrentVein,Not (All others),,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-NDLh3xP/0/bc3e5660/O/Recurrent%20vein.jpg,,,100%,image-web,2,Only Colletes have these traits,,RecurrentVein,S-shape,,,
# 'Scopae' character help images,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-VLpW6QL/0/c4fcbc43/M/scopae top-M.jpg,,,100%,image-web,,,,Scopae,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-ZXNQkmP/0/e6184d42/X5/coel.calapooia-X5.jpg,,,100%,image-web,,No scopae: female Coelioxys. ,,Scopae,not evident,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-dVCNC3z/0/f1d5f890/M/Eucera.4-22-21.Finley-M.jpg,,,100%,image-web,,No scopae: male Eucera. Absence of scopae is common to all males.,,Scopae,not evident,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-SzCrQHk/0/5a376b03/L/scopae tibial-L.jpg,,,100%,image-web,,"Scopae on hind leg: on tibia, sometimes femur and trochanter (Andrena).",,Scopae,hind legs,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-fLv4j5R/0/56867ea2/L/scopae abd-L.jpg,,,100%,image-web,,,,Scopae,abdominal,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-5mh2s33/0/84b5f11a/L/scopae exaggerated-L.jpg,,,100%,image-web,,,,Scopae,exaggerated,,,
# Tergal Hair bands,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-CnmbRpb/0/7173b4e4/M/hair bands not-M.jpg,,,100%,image-web,2,,,TergalBands,absent,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-z2kWpjp/0/d42e92d7/M/hair bands distinct-M.jpg,,,100%,image-web,1,,,TergalBands,distinct,,,
